Time,Event,Objective,Reward Structure,Monetization Goal,Risk
Day 1-7,New Player 7-Day Login,Improve early retention,Daily coins; items; tickets; day-7 reward,First purchase exposure,Weak reward fails retention; too high reward weakens payment
Day 1-30,Daily Tasks,Build daily active behavior,Coins; pass EXP; event tokens,Increase session and consumption,Too much grind causes fatigue
Day 1-30,Battle Pass Cycle,Build 30-day goal,Free and paid reward tracks,Stable mid-low payment,Hard completion lowers purchase intent
Day 3-5,New Player Boss Trial,Show high-reward gameplay,First-clear rewards; boss drops,Starter pack conversion,High difficulty causes early churn
Day 6-7,Weekend Coin Carnival,Increase weekend activity,Coin bonus; double task rewards,Increase consumption and pack conversion,Excessive output causes inflation
Day 8-14,Weekly Activity 1,Build weekly routine,Weekly missions and active rewards,Daily / weekly pack conversion,New users may fall behind
Day 10-12,Limited Ranking,Stimulate competition,Ranking rewards and participation rewards,Mid-high payer spending,Top-heavy reward frustrates normal users
Day 15-21,Festival Event,Create version-level excitement,Event shop; tokens; limited items,Event pack and recharge rebate,Rules may become too complex
Day 18-20,Cumulative Recharge,Increase short-term revenue,Tiered recharge rewards,Raise ARPPU,Overuse trains discount waiting
Day 22-24,Return Event,Reactivate inactive users,Return login and catch-up rewards,Return payment,Active users may feel treated unfairly
Day 25-27,High Multiplier Boss Room,Consume resources and create excitement,Boss drops; rare items; ranking points,Bankruptcy and event pack conversion,Consumption may be too aggressive
Day 28-30,Month-end Sprint,Close pass and event cycle,Pass EXP; tokens; milestone rewards,Pass completion purchase,End-cycle pressure may hurt next cycle
